Manufacturer,Price,Levy,Model,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Wheel,Color,Airbags,Age
MERCEDES-BENZ,89379,1079.0,E 300,Sedan,Yes,Petrol,2.0,21000,4.0,Automatic,Rear,Left wheel,Black,0,5
TOYOTA,34497,1325.0,Camry se,Sedan,Yes,Petrol,2.5,19050,4.0,Automatic,Front,Left wheel,Silver,12,4
MERCEDES-BENZ,74953,2418.0,SL 55 AMG,Sedan,Yes,Petrol,4.7,29819,8.0,Automatic,Rear,Left wheel,Black,12,5
CHEVROLET,470,780.0,Cruze,Minivan,Yes,Petrol,1.4,43371,4.0,Automatic,Front,Left wheel,Silver,12,4
NISSAN,43592,0.0,Rogue SPORT,Jeep,Yes,Petrol,2.0,70000,4.0,Tiptronic,4x4,Left wheel,Grey,12,5
KIA,3293,1277.0,Sorento,Jeep,Yes,Petrol,2.4,57618,4.0,Automatic,Front,Left wheel,Purple,12,5
TOYOTA,31047,400.0,Prius C,Hatchback,No,Hybrid,1.5,10000,4.0,Automatic,Front,Left wheel,Grey,8,5
HYUNDAI,9565,1275.0,Sonata,Jeep,Yes,Petrol,2.4,1446,4.0,Automatic,Front,Left wheel,Black,12,4
KIA,16308,1079.0,Avella,Sedan,Yes,Petrol,2.0,56288,4.0,Automatic,Rear,Left wheel,Silver,12,5
SUBARU,21953,1079.0,Crosstrek,Universal,Yes,Petrol,2.0,30400,4.0,Variator,4x4,Left wheel,Orange,10,5
CHEVROLET,470,781.0,Cruze,Goods wagon,Yes,Petrol,1.4,87568,4.0,Automatic,Front,Left wheel,White,12,5
FORD,90947,0.0,Ranger Wildtrak,Pickup,Yes,Diesel,3.2,11000,5.0,Automatic,4x4,Left wheel,Grey,8,4
NISSAN,39201,1327.0,Rogue,Jeep,No,Petrol,2.5,12000,4.0,Automatic,4x4,Left wheel,White,8,5
CHEVROLET,93079,1866.0,Colorado,Pickup,Yes,Petrol,3.6,3510,4.0,Automatic,Front,Left wheel,Grey,4,3
MERCEDES-BENZ,15994,2070.0,S 63 AMG,Hatchback,Yes,Petrol,4.0,40110,8.0,Automatic,4x4,Left wheel,White,12,5
CHEVROLET,52034,1079.0,Captiva,Jeep,Yes,Diesel,2.0,19698,4.0,Automatic,Front,Left wheel,Black,4,5
TOYOTA,135,0.0,Corolla 140,Sedan,No,Petrol,1.6,18,4.0,Variator,Front,Left wheel,Black,12,4
MERCEDES-BENZ,300,0.0,Sprinter,Microbus,No,Petrol,0.1,0,1.0,Manual,Rear,Left wheel,Beige,0,3
BMW,2666,1079.0,320,Sedan,Yes,Petrol,2.0,25323,4.0,Automatic,4x4,Left wheel,Black,12,5
MERCEDES-BENZ,136000,1575.0,GLE 400,Jeep,Yes,Petrol,3.0,99000,6.0,Tiptronic,4x4,Left wheel,White,10,5
JEEP,127000,0.0,Cherokee,Jeep,Yes,Diesel,3.0,26713,6.0,Automatic,4x4,Left wheel,Grey,12,5
KIA,15994,1275.0,Optima,Jeep,Yes,Petrol,2.4,11213,4.0,Automatic,Front,Left wheel,Red,12,4
KIA,706,420.0,Niro,Sedan,Yes,Hybrid,1.6,2942,4.0,Automatic,Front,Left wheel,Red,12,4
JEEP,5175,1277.0,Renegade,Sedan,Yes,Petrol,2.4,80285,4.0,Automatic,Front,Left wheel,Blue,12,5
FORD,12858,1228.0,Mustang,Sedan,Yes,Petrol,2.3,26642,4.0,Automatic,Rear,Left wheel,Red,12,5
NISSAN,15681,880.0,Versa SE,Sedan,No,Petrol,1.6,6487,4.0,Automatic,Front,Left wheel,Silver,6,5
HONDA,18817,830.0,FIT LX,Hatchback,No,Petrol,1.5,1532,4.0,Automatic,Front,Left wheel,White,8,4
MINI,51118,1079.0,Countryman S,Hatchback,Yes,Petrol,2.0,4093,4.0,Tiptronic,Front,Left wheel,White,12,5
